Sample:,STf1,STf2,STf3,STf4,STf5,STf6,STf7,STm1,STm2,STm3,STm4,STm5,STm6,STw2,STw3,STw4,STw5,STw6,STw7
gbr.34.2.t1,147.7079725,92.19099039,48.18928047,78.81141689,167.7291809,47.15296838,66.07343759,86.05841127,30.533006,32.25288995,23.19420106,38.7118413,32.77497149,40.09942386,34.68559352,31.17218957,61.7012099,64.36147601,66.7308112
gbr.34.79.t1,3.828960938,4.881118143,8.371174928,10.82419615,5.242999326,13.09631945,4.22197069,4.743620096,1.109809518,0.358318184,5.078430698,2.255270533,0.782854399,34.51888955,14.0127493,4.323314143,4.116701021,5.150416827,8.204433266
gbr.341.20.t1,21.29972404,25.91844692,11.49059014,16.45566718,24.72746627,10.8237462,12.46193618,7.539367217,7.055591573,6.26450168,5.136412352,5.735134729,10.78345886,12.66075822,12.51752613,8.780052668,13.08592176,9.426208277,10.15318874
gbr.342.18.t1,142.9600785,97.47886949,147.6217035,131.6997978,157.2308781,326.6842217,187.1191345,133.0450641,61.3100113,37.27973045,103.589491,90.88776955,70.32731294,282.9164582,129.1735701,137.1382151,103.8252837,108.4815325,125.9629536
gbr.35.19.t1,0,3.65437001,3.133643738,12.40234134,1.689586221,1.725659579,1.324560471,0,2.611357216,2.360721304,0,4.457545359,0,2.499144081,0.336936966,3.956035389,4.339554837,6.169579425,1.650490973
gbr.35.43.t1,982.4898393,954.2157391,135.9312873,362.8546237,1026.27001,55.06146294,117.6955382,436.0081308,43.03204405,72.22588709,47.29758581,109.8224516,49.99581323,65.10532898,69.26789195,94.59047427,173.0803693,150.7566445,167.2384243
gbr.354.8.t1,344.8692743,335.6881717,241.9188049,307.0447595,272.606156,241.0679288,180.7752479,215.4208606,142.3186121,139.941059,161.4378729,192.2045401,176.5728254,142.9787095,186.7268171,217.7848737,208.1384881,301.4641784,181.2682662
gbr.357.10.t1,641.5958935,541.5784434,657.5690671,601.667183,548.536726,903.0387013,609.5220934,422.4424929,345.2785108,316.0956551,403.8751781,547.0488412,653.786979,387.2215667,508.3769085,604.9981204,557.8231229,529.473662,380.2137072
gbr.36.4.t1,150.653441,94.05725051,26.71364022,36.8520629,34.77734326,42.43522354,44.51493666,42.69574871,11.98683216,11.6103706,9.972931139,19.48698326,4.227727433,28.67935921,16.01868152,11.67381433,60.47059127,36.24289474,39.23388044
gbr.36.64.t1,38.63985601,72.26424943,33.63923842,35.83244601,35.43606109,20.38605592,35.37735684,26.75375645,15.82699774,46.53110395,24.21556813,16.40828629,27.81611125,9.306353604,22.32485357,10.36288295,19.64240038,60.47279537,17.32571523
gbr.360.23.t1,2.147275528,0.580644422,0,0,0.596575736,27.41907925,0,3.103584175,0,0.468870029,2.416464729,0,0.68292555,0.496362597,0.267680297,0,0.430946084,0,0.655618051
gbr.37.128.t1,112.0040964,226.6640695,20.10680382,11.39799771,236.8983452,32.29500419,11.5089931,52.22133465,2.792598205,59.95846463,0,18.86906171,10.34189941,14.19817118,27.02415316,19.03771635,11.60185302,97.59213992,6.894699747
gbr.374.3.t1,39.61083261,53.65684231,15.07706962,27.00674936,46.40806281,0,1.648171407,4.320896336,6.065458592,0.489580435,0,1.232576385,2.13927294,1.03657475,0.838511921,0.656340933,2.699888136,9.382883428,1.71144321
gbr.38.60.t1,87.57746154,42.06464607,80.44378925,61.05624926,97.39350127,100.7085805,54.65582672,30.53792844,22.5323802,16.48174058,44.64988209,36.30788204,58.32282806,44.73887332,41.7999385,77.61836141,37.9686975,37.55158084,28.80789444
gbr.38.9.t1,80.94361466,65.49676498,73.64342931,71.41344964,77.16472381,104.9368521,64.346065,42.27213109,30.08763763,28.60301789,41.02569968,40.93104496,58.16859803,139.2602557,78.79806681,87.90583465,63.86364346,59.00234866,37.9201882
gbr.383.8.t1,372.8001235,738.0645753,2099.975509,570.4693042,284.6455846,136.0107061,508.9374142,708.176627,106.5110356,1787.960129,130.3556786,380.6061892,253.2239546,147.7306222,304.732885,197.21442,918.6689802,560.7249957,275.0102905
gbr.384.12.t1,1.581798882,0.641600963,0,2.721862498,0,0,0,0,0,0,0,0,0,0,2.366252798,0,0,0.902665414,0
gbr.384.13.t1,0.815134868,0.330630728,0,0,0.169851171,0,0,1.178162581,0.472527378,0,0,3.360819751,0,0.56527789,0.304845196,0,0,0,0
gbr.4.17.t1,829.7465606,676.2889304,622.812848,860.3807355,1141.843463,485.8302424,589.7096968,940.704883,332.7096026,281.2266497,317.0250104,601.6622639,340.8750128,302.394735,987.5416861,445.5019183,722.4767716,374.7972994,733.3347575
gbr.40.38.t1,306.9349289,303.2016446,485.2599819,290.6114928,325.5972513,416.3111993,324.9447631,212.2637251,187.2924251,265.5186688,193.3653151,230.0908634,276.0406841,218.9631416,228.4773974,199.9047502,296.2110481,249.7421405,170.1668405
gbr.40.93.t1,0,1.833480124,0,7.778169108,0,0,4.430413066,2.177794832,0,0,2.543461416,0,1.437633056,5.224488064,1.690488997,0,0,1.719676445,5.865628065
gbr.403.5.t1,230.1256197,242.0173631,367.1818725,215.8302355,233.1921609,302.5891246,351.1296359,149.8261952,105.039085,111.9064597,186.88188,133.0048062,140.8409116,377.5454513,264.5458175,248.70475,229.1770303,263.3556806,224.2726281
gbr.41.64.t1,73.43200845,60.42528678,50.83739592,59.85345612,51.68718691,106.3292031,46.48947534,65.50954532,35.43936029,36.13472266,65.83336355,87.20700305,99.56401726,45.80675197,39.28802469,62.94491864,75.09722551,58.34553789,46.26274057
gbr.422.4.t1,47.8878387,70.84052118,40.17084959,101.7912688,41.08785124,62.04838854,36.23742947,46.82199451,0.816476754,10.14903984,9.510213264,6.96856436,32.25257566,0.976739717,8.954578044,18.55363322,20.35232268,4.018758068,16.77158294
gbr.438.11.t1,96.79835519,40.08846144,95.34055453,81.5310722,73.56414408,96.16865332,73.81594738,54.91730854,46.28032702,28.8898158,24.051862,51.65944349,46.17903184,44.85623002,92.87021134,43.09980756,51.60833371,49.04371315,54.1726754
gbr.438.9.t1,4.134526627,12.03512057,6.428968665,0.836992921,1.571005263,0.931672376,4.469509859,0.351522093,0.704927383,1.115220809,4.926540562,2.607149705,6.497432022,16.19125949,1.182415486,9.611269918,30.75052855,8.466077603,1.113861668
gbr.44.3.t1,7.056222672,10.22181435,76.43311788,43.79762263,40.53877497,56.95772108,28.89893668,40.79510194,2.33739297,6.933451611,30.62884975,34.08033377,5.770750914,23.7676193,1.130955135,66.39370264,91.64475256,53.2097855,18.00500437
gbr.44.53.t1,21.88500056,39.22341927,23.36699591,35.90681472,21.56382314,25.34590517,22.32301761,13.97679069,12.09649271,18.11466925,15.75083153,16.64752051,22.17605348,17.05914977,19.60492639,16.53755185,17.26235226,18.87847901,13.86913766
gbr.44.78.t1,2.655663889,13.73399977,7.389481057,3.998490595,3.043510975,1.907483224,2.928244838,9.595969767,1.15460086,10.43783221,7.284678988,7.938288248,4.434227778,0.230205476,1.738045101,2.915241311,5.196523404,9.850584552,1.976427374
gbr.44.80.t1,83.21764983,14.59645686,11.73426324,28.05864192,142.0023153,6.461916367,5.786617632,9.75238261,9.778505645,5.893315157,3.796624689,13.90979506,9.65679646,12.47774879,60.56142757,10.86345077,8.124962989,13.47654482,40.17285677
gbr.441.10.t1,0.788362183,0.319771332,0,0,1.971269962,0,0,0,0,0.516430325,0,0,0,0,0.589665426,0,0.474659527,0,0.902651647
gbr.445.5.t1,322.8798446,345.567804,256.8826828,494.1855506,403.4185262,118.6693051,195.7160688,261.1499425,91.52865049,131.1421386,97.2126073,210.0952621,126.9514461,109.3998074,219.9138462,181.0848209,254.6268456,209.8749004,197.1877564
gbr.450.7.t1,79.36435594,58.10146756,92.91194912,68.28265798,80.66974974,148.9236881,93.9136228,52.22568752,48.4381623,30.43258431,39.75549766,47.08790851,60.02495482,109.1799119,97.48810642,70.54741819,69.53922306,62.77985472,47.79902752
gbr.46.59.t1,552.3742847,481.2062368,343.9328781,486.9489522,737.1774793,81.55966319,181.2865775,176.0879147,87.42270925,99.95217167,107.818746,113.6287535,71.66335533,75.05336939,59.93848365,69.59575694,305.5134132,275.0551133,294.1513107
gbr.46.84.t1,196.7791135,160.2675666,255.9718546,266.7887751,136.5842986,247.8475068,247.4923586,233.2182816,116.7271643,196.3199207,189.1927639,322.0420402,291.4908961,170.3255736,122.9035856,259.5593683,247.1137951,153.9332532,216.4271376
gbr.465.5.t1,3.825712204,9.454942128,5.322591457,7.884351674,2.243201494,3.919476167,4.774300164,5.143746845,2.991364526,3.963133537,2.252781364,12.32533885,4.499109381,3.084937525,9.948667447,5.781851709,10.12423141,6.295657078,2.424460948
gbr.471.3.t1,45.21525868,44.61700041,66.07830706,41.51707048,51.89790527,55.31055318,53.48719905,14.2786504,14.64728759,22.64985382,27.25906364,23.34210814,31.54017891,41.36854431,31.11946043,36.53789858,29.62540153,35.77647442,19.83797308
gbr.474.16.t1,14.84383665,5.483300644,14.75125488,66.13647736,46.72696535,34.52418248,23.77174097,2.681834254,8.297540945,5.035494083,10.73873997,7.213031434,6.069825734,37.6829183,21.90787721,21.64873261,33.03580571,35.39562091,12.9289166
gbr.48.12.t1,65.45865531,58.48395134,73.22563758,86.76111668,51.24119273,45.74624749,73.47791467,34.52032518,33.33083712,29.55231372,34.34370467,37.20071451,37.97997853,39.8732141,36.38965431,24.0817721,41.54190238,46.94548677,44.56382209
gbr.480.9.t1,35894.93947,33173.13682,8963.853146,18273.78505,1664.947018,10534.08927,4746.639609,28832.88822,2053.297923,10543.92772,9507.451048,7398.3143,51204.68302,2363.453391,2287.515851,2271.022078,14271.14007,51435.73257,15128.83407
gbr.481.4.t1,2.891237977,2.052275362,3.519676343,2.694826863,2.660832508,5.999323727,3.542220634,1.044719263,1.396690241,0.789148164,1.626846323,1.986773411,0.919537461,1.169588695,1.802114887,1.057947183,1.160510299,2.337367781,1.434499274
gbr.494.3.t1,43.67599759,8.684131853,1.787206571,29.47254032,3.212064347,9.841929707,0.629528906,28.4692645,2.482219405,3.36596705,4.336884509,2.824739442,4.902648407,1.781666607,6.725767293,1.504160021,6.703049522,23.94662292,142.963304
gbr.5.38.t1,103.4462555,153.5468141,37.33615163,111.9619184,59.91745545,34.45904852,87.61446878,120.0469701,41.7161698,107.5389412,58.46037667,121.0303033,52.06836125,63.31629665,50.96587122,54.3759834,77.53811995,79.65093964,90.56593323
gbr.50.80.t1,0.693258846,2.155836121,2.572023834,1.789375953,1.05934134,0,3.567274088,1.670013277,1.607507161,3.784426951,1.170251928,2.66776731,2.645831928,0,2.074126747,2.029390176,2.226130226,1.846195718,1.534604808
gbr.516.11.t1,30.13701875,40.03646727,36.54333943,26.16684714,24.19703514,6.884517273,19.91786962,4.395843573,12.34133157,15.21384646,11.66803556,4.559839238,8.177909978,9.011647105,2.688419416,14.81136259,20.97494129,22.24684563,14.11897094
gbr.55.53.t1,0.929338889,3.392582078,3.878878732,9.594896162,1.452360567,0,2.732606654,2.686456798,0.538730565,3.043897809,1.568765595,0.383168555,2.216771663,0.644475837,3.99688669,2.040353927,7.833549015,1.060668436,0.638439512
gbr.564.5.t1,118.4171375,98.94538028,54.36749646,61.12948416,22.20731959,49.8992009,43.52387778,109.5393821,31.57692934,83.77689627,63.96589518,48.82365729,167.2180349,34.49025278,46.94294251,39.51750743,92.68604043,159.4784845,52.06431735
gbr.572.2.t1,83.35558997,93.73140568,7.463414275,134.9124033,25.10760492,1.58077372,10.92015695,26.2428979,1.43526507,11.35320823,2.78629629,6.124936786,5.512114588,1.144658348,3.086478392,4.348665417,19.87603559,24.01922941,26.83651339
gbr.58.144.t1,29.3425379,38.68074036,66.70241798,63.11354938,41.488938,33.11920766,35.05048716,24.23457342,15.79466778,23.34019674,18.57431844,24.62806257,12.99839818,38.87997286,75.44322787,13.34439944,34.07138759,31.99403113,26.51711743
gbr.58.211.t1,1017.369342,320.8031478,383.0979479,1090.820555,1221.89837,253.0294253,462.8422925,342.199045,41.7706033,218.0276808,55.02518339,152.7894803,206.2535058,159.4267817,427.3149299,201.8924784,758.1871699,1192.468125,1310.219872
gbr.58.222.t1,207.1679575,254.352047,233.2951788,245.381049,258.6206828,435.9534882,105.1674785,110.1050726,82.93463679,60.24747755,197.5932987,65.11520205,187.9145566,246.1011326,161.9024881,107.6919004,136.4784137,529.082992,147.2136928
gbr.58.231.t1,35.69069008,26.05800681,38.66021311,36.40993633,30.81016169,26.85628582,31.67062494,30.95151772,19.21178716,38.07568358,15.92254843,34.26575137,30.64815222,20.50772225,22.40498496,22.38815463,36.99136612,42.91651653,24.16860822
gbr.58.24.t1,9.031534568,26.00959802,30.78495118,22.53432058,30.11068293,25.94831485,26.55611612,14.35919151,7.853266084,0,0,23.83182342,27.57518077,1.878950468,8.444062559,1.586291264,11.4192416,6.184695651,11.78856101
gbr.58.39.t1,32.95127405,23.08590318,49.1434403,30.71278781,34.69470414,71.72092635,28.44284255,20.20514917,17.65450786,15.86192773,31.60410445,19.34959498,26.43796968,20.25427349,29.03411241,33.7606181,22.09388215,31.19736636,14.29100199
gbr.59.27.t1,6.95501193,11.28422179,1.612714405,0,0.966152528,0,5.112589202,3.350829874,0,0,0,0,0,0,0,0,0,0,0
gbr.59.47.t1,239.2918072,199.4982392,369.1352603,287.1182042,328.9523243,571.062158,354.4188176,230.419263,106.473603,106.1255095,167.5785508,147.1908906,176.4814161,513.5279906,493.6498339,333.6763028,267.3148376,250.0408366,168.1657835
gbr.6.155.t1,83.08688671,91.74233806,88.83777224,144.2946225,93.93888934,185.6673877,100.6634364,133.4337621,140.9267116,134.0529328,46.75145984,173.8221186,82.21169355,83.22730986,104.7273222,89.18135163,145.4436608,107.9989109,123.6716724
gbr.6.16.t1,38.7775496,29.76762712,30.096057,21.5067366,70.9851216,10.43518768,25.44261618,14.82247492,13.74751544,16.37478276,10.27856621,14.53461146,15.59451991,10.88989268,20.97408025,16.88642169,32.99495348,21.94581814,19.52095316
gbr.6.51.t1,196.6239405,180.5458877,174.2187314,191.3890052,229.9977715,180.8230565,159.6927848,135.1951842,111.0878103,161.2156523,114.3001333,106.3017436,123.8272486,127.023236,134.1624363,158.5706887,140.3359366,128.8003595,122.3546946
gbr.60.24.t1,7.408768491,6.678012895,11.45287053,7.790783249,3.259088773,0,4.841016031,4.759258127,4.772006424,3.774744034,11.11673996,13.57623216,8.639787109,2.283473807,6.157201909,0,3.96506143,3.758106125,3.77014368
gbr.60.55.t1,121.1844487,94.98625451,126.8570115,127.704668,124.5853278,162.0002754,114.6393058,95.42929919,85.46237836,75.66114072,93.67655555,108.6127595,96.00905994,82.53181702,109.6448805,99.23090886,99.02854579,98.53368943,84.05539854
gbr.63.17.t1,338.3772225,76.64654706,130.430738,279.7866819,836.6373549,70.14318812,104.4489058,122.7984511,56.89334244,40.30179452,49.45418876,48.31643451,51.71275874,56.8865632,105.1817168,37.30598641,106.716342,173.0354254,251.9146761
gbr.63.8.t1,634.4720819,584.5264528,595.3233207,713.0297227,580.0672046,866.6963854,661.6326303,446.0795264,295.8069796,375.3485,371.5350506,455.2551861,568.9988588,337.6684852,356.3808857,447.0484,512.301147,481.351655,352.8078807
gbr.670.3.t1,460.6088928,429.1246104,524.6799491,460.3818982,459.4193717,666.5077047,612.9025125,257.976282,288.9146918,250.1057551,433.107619,432.3422178,432.269825,435.711594,450.9689714,519.5358852,429.6368081,412.3458191,348.8148842
gbr.70.47.t1,115.641903,85.67936177,85.03253327,92.15559066,100.7106213,140.816033,87.39954818,76.77187889,68.20922186,66.5361111,70.06730612,79.55030513,67.88046986,71.16932734,69.26243069,85.64705048,73.70299402,71.06050154,65.18633546
gbr.70.68.t1,62.50749579,33.97430972,69.57174934,57.0063044,54.18318191,95.78079525,74.43721807,61.43512795,29.71279164,19.65437737,27.43401636,22.67934577,35.78410768,50.28316637,42.54547466,59.28533035,54.19397552,69.91392912,52.10241755
gbr.70.9.t1,5.905665133,9.07739964,11.45966513,3.743933915,6.671008835,7.739535921,5.026676271,4.941782828,11.531683,11.19860326,4.72217058,5.895067716,10.97295965,3.017698039,6.509582398,4.913365931,6.175691241,5.853352714,8.541238595
gbr.710.2.t1,2.143707637,3.188237962,47.7195538,15.98462935,9.082663196,9.580731997,7.35385996,3.098427291,0,4.680909591,1.206224778,1.178474098,1.363581616,29.23673291,3.741297305,24.47373741,0.430230028,85.63260061,2.290850389
gbr.72.22.t1,148.1532173,109.1461872,115.9698724,136.2481006,98.54217268,181.8738668,119.3652456,105.0555958,60.78169076,69.90055456,68.91812443,117.5769647,89.71312784,57.48345932,75.64900268,92.08028614,93.11121555,88.42780354,73.37696086
gbr.734.1.t1,49.23701902,28.19472186,8.059046506,11.46266456,6.3971682,1.109504778,3.832289897,6.697898574,0.671583977,0.379453688,0.97781517,4.776596665,0,0.401703258,0.649896152,3.560920305,0.348762068,0.330558526,2.254997881
gbr.74.37.t1,98.49874093,57.48946708,287.6444524,136.7671609,288.9668183,238.4751748,139.0765966,119.3431568,75.94349879,54.51474294,58.16716013,77.73771912,39.08097923,291.7123764,367.1511379,115.6203986,103.7338122,90.89911792,76.15318563
gbr.76.53.t1,309.4523835,330.032348,447.66681,468.9061821,331.628901,401.7821486,336.6880977,346.5784731,237.621042,387.2709774,319.6589224,675.7082014,426.3603837,214.598341,254.3455934,337.6716966,453.9715509,447.4086235,302.9295966
gbr.78.30.t1_gbr.78.31.t1,24.95437141,25.19342376,40.44100539,34.09243423,37.91274624,63.02935163,42.1302996,20.61030127,20.90395684,22.54420478,21.29349838,23.51713039,25.64118897,24.43660665,43.48314862,29.62113818,31.78281753,34.66207129,23.14020093
gbr.8.134.t1,316.0076762,280.0215767,406.3500741,379.9292631,330.7829341,494.7876986,398.98664,288.8434983,247.2988835,252.611981,323.2397247,308.6954395,288.6062398,359.0177552,372.6940503,348.6717602,358.9684756,346.8158885,250.0699944
gbr.8.20.t1,143.5257688,97.56006392,171.7052887,160.123627,117.4907322,151.0479534,73.0418994,68.38888111,61.25771559,63.02375529,54.57909067,33.16457342,74.49043834,57.969144,48.07241977,95.57162464,194.6698835,100.8049946,96.79383002
gbr.8.88.t1,14.46204885,22.32872272,30.50540707,24.48402912,14.09532867,25.91328548,16.11792043,24.94856717,7.031354321,28.72644849,8.662530179,35.7764154,12.01818088,13.26430549,15.87666963,18.02653248,27.24559415,28.48573609,13.67421774
gbr.8.89.t1,24.29479256,19.70865257,20.18645187,29.03124231,9.562218903,36.19304118,21.331538,13.65571625,2.347250551,8.841514076,5.695930005,8.347332227,7.726784177,177.8389229,33.3145929,33.78134512,19.50331118,32.34934702,23.33522715
gbr.80.62.t1,19.56087413,323.9011952,0,0,37.64246576,70.52541766,1.691657163,1.663087469,3.335084534,1.507492935,0,2.846468207,5.489290097,343.115487,0.430317712,4.041947953,2.078341982,2216.096422,88.53255659
gbr.81.209.t1,623.8341261,1182.20727,100.9492777,185.1770912,283.1497283,63.29398479,70.04607492,157.6901719,46.21751921,62.76402605,73.19474613,141.4356972,69.06395826,31.52464169,64.99509042,61.26445395,72.95145125,73.43407614,65.46157211
gbr.822.1.t1,77.16651174,484.268862,297.3490956,465.4878757,39.02399144,958.2327866,292.546271,0,2.010464265,1.703907715,137.5785287,11.4394354,2.481801017,1.202545136,4.539591589,14.46717888,0.522029782,0.989565159,1.786922686
gbr.83.55.t1,20.39081442,57.25948955,23.76214394,16.19412129,9.260362022,17.69216297,4.355827239,9.068322677,2.626754973,6.279099317,9.119989728,4.023949179,8.813155263,30.3357656,3.975835711,4.591571519,28.22652459,49.82668272,1.197276218
gbr.85.20.t1,17.09685145,36.2739994,2.744573598,5.657541028,0.548077352,0,0,9.504265163,0,6.030547999,0,1.084472469,1.254814785,0,0.491838669,0,2.375474972,0,1.204639691
gbr.87.22.t1,3.827135498,2.217632315,6.465551279,7.526285749,8.886064794,1.047206067,8.038015018,20.54588725,21.86867116,24.71216766,33.22478998,11.72181579,13.04135294,23.12800442,21.87809285,15.36445519,12.83798382,13.10390172,21.28379714
gbr.9.126.t1,1.198193372,0.972009817,0.833504125,0,0,2.295003034,0,0,0.694583429,0,0,1.976071497,0,7.478283937,0,0,0.721411949,0,0
gbr.9.53.t1,155.7922672,127.1355655,83.86114907,51.06243392,113.6195373,30.19547658,52.48924914,68.35692943,56.44473259,47.98987954,17.21921093,32.11675448,23.88950887,43.08677084,22.54238473,20.35954242,30.7082964,67.73640194,50.96502584
gbr.9.78.t1,347.3005059,210.6614825,283.5528119,342.507868,278.3574822,339.2959254,280.9684787,144.9943004,119.2506088,132.2608052,184.344626,325.6523525,202.335179,258.897552,272.8274119,284.3672998,201.0760069,275.3640371,164.7298832
gbr.90.77.t1_gbr.90.78.t1,39.94014272,162.9084228,110.0725764,88.94023845,62.46696988,123.526288,64.07337783,29.54307505,69.93565453,43.01584473,42.83200372,64.99784547,87.64845999,46.84152959,71.25763926,120.3907,64.64475733,100.6876411,46.34899951
gbr.93.53.t1,731.5444782,973.0258308,486.1893433,292.5214848,593.6875338,201.2414099,222.1054084,364.0811403,221.3036082,301.8045463,239.0445259,741.5323239,351.7956079,157.0352416,266.2623492,240.1267458,402.731322,281.1626408,228.7887712
gbr.94.31.t1,11.05448261,4.919187568,13.43861592,12.09643549,10.04122299,39.88037903,17.67226574,6.980547136,2.924129209,1.546713334,7.065611402,6.637556104,7.782544807,13.91795189,9.39219149,15.17464223,6.33262382,8.390682763,4.915362851
gbr.95.29.t1,21.92570622,53.59437606,54.58706487,32.76414592,53.62211346,15.47228231,25.87276526,49.20369976,9.699860687,9.071251092,12.66185371,29.02321871,7.70734627,19.60643357,43.15686356,20.26848901,47.59342722,43.46297634,40.69537939
gbr.95.30.t1,10.13154077,18.36160651,15.29532294,9.829658503,24.21059586,4.954675724,7.764557986,26.4833133,2.999068498,4.377491233,8.005422627,11.90962773,2.468116901,14.35097473,13.70491811,5.67924078,20.24690547,15.00766087,19.745222
gbr.99.1.t1,0.643548928,2.088263516,0.895349112,0.830534643,0.871633678,1.232644727,0.236534555,0.930159284,0.559590503,0.843135779,0.543169681,1.326683492,0.307014167,2.008290866,0.601688159,1.130324016,1.356144709,2.019853163,0.589475763